triphone	desired number	missing number
C0l-C0ing+C0i     	490 	432 
C0l-C0ing+C0l     	456 	401 
C0i-C0n+C0ian     	540 	396 
sil-C0i+C0j       	482 	389 
C0ing-C0l+C0ing   	411 	354 
sil-C0er+C0l      	345 	338 

step: 27
C0n-C0ian+sp      	1187	924 
C0i-C0j+C0iou     	1025	817 
C0er-C0l+C0ing    	764 	728 
C0iou-C0n+C0ian   	491 	432 
C0l-C0ing+C0i     	490 	432 
C0l-C0ing+C0l     	456 	400 
C0i-C0n+C0ian     	540 	396 
sil-C0i+C0j       	482 	389 
C0ing-C0l+C0ing   	411 	354 
sil-C0er+C0l      	345 	338 

step: 28
C0n-C0ian+sp      	1187	923 
C0i-C0j+C0iou     	1025	817 
C0er-C0l+C0ing    	764 	726 
C0iou-C0n+C0ian   	491 	432 
C0l-C0ing+C0i     	490 	431 
C0l-C0ing+C0l     	456 	399 
C0i-C0n+C0ian     	540 	395 
sil-C0i+C0j       	482 	389 
C0ing-C0l+C0ing   	411 	353 
sil-C0er+C0l      	345 	338 

step: 29
C0n-C0ian+sp      	1187	923 
C0i-C0j+C0iou     	1025	817 
C0er-C0l+C0ing    	764 	725 
C0iou-C0n+C0ian   	491 	431 
C0l-C0ing+C0i     	490 	430 
C0l-C0ing+C0l     	456 	398 
C0i-C0n+C0ian     	540 	395 
sil-C0i+C0j       	482 	389 
C0ing-C0l+C0ing   	411 	352 
sil-C0er+C0l      	345 	338 

step: 30
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	813 
C0er-C0l+C0ing    	764 	725 
C0iou-C0n+C0ian   	491 	430 
C0l-C0ing+C0i     	490 	430 
C0l-C0ing+C0l     	456 	398 
C0i-C0n+C0ian     	540 	394 
sil-C0i+C0j       	482 	388 
C0ing-C0l+C0ing   	411 	352 
sil-C0er+C0l      	345 	338 

step: 31
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	813 
C0er-C0l+C0ing    	764 	725 
C0iou-C0n+C0ian   	491 	430 
C0l-C0ing+C0i     	490 	430 
C0l-C0ing+C0l     	456 	398 
C0i-C0n+C0ian     	540 	394 
sil-C0i+C0j       	482 	388 
C0ing-C0l+C0ing   	411 	352 
sil-C0er+C0l      	345 	338 

step: 32
C0n-C0ian+sp      	1187	921 
C0i-C0j+C0iou     	1025	813 
