triphone	desired number	missing number
C0ing-C0l+C0ing   	411 	332 

step: 69
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	786 
C0er-C0l+C0ing    	764 	694 
C0iou-C0n+C0ian   	491 	421 
C0l-C0ing+C0i     	490 	416 
sil-C0i+C0j       	482 	384 
C0i-C0n+C0ian     	540 	382 
C0l-C0ing+C0l     	456 	375 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	332 

step: 70
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	784 
C0er-C0l+C0ing    	764 	694 
C0iou-C0n+C0ian   	491 	421 
C0l-C0ing+C0i     	490 	416 
sil-C0i+C0j       	482 	384 
C0i-C0n+C0ian     	540 	382 
C0l-C0ing+C0l     	456 	374 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	331 

step: 71
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	784 
C0er-C0l+C0ing    	764 	693 
C0iou-C0n+C0ian   	491 	421 
C0l-C0ing+C0i     	490 	416 
sil-C0i+C0j       	482 	384 
C0i-C0n+C0ian     	540 	381 
C0l-C0ing+C0l     	456 	373 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	330 

step: 72
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	783 
C0er-C0l+C0ing    	764 	693 
C0iou-C0n+C0ian   	491 	420 
C0l-C0ing+C0i     	490 	416 
sil-C0i+C0j       	482 	383 
C0i-C0n+C0ian     	540 	381 
C0l-C0ing+C0l     	456 	373 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	330 

step: 73
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	782 
C0er-C0l+C0ing    	764 	693 
C0iou-C0n+C0ian   	491 	420 
C0l-C0ing+C0i     	490 	416 
sil-C0i+C0j       	482 	382 
C0i-C0n+C0ian     	540 	380 
C0l-C0ing+C0l     	456 	373 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	330 

step: 74
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	782 
C0er-C0l+C0ing    	764 	693 
C0iou-C0n+C0ian   	491 	420 
C0l-C0ing+C0i     	490 	415 
sil-C0i+C0j       	482 	382 
C0i-C0n+C0ian     	540 	380 
C0l-C0ing+C0l     	456 	373 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	330 

step: 75
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	782 
C0er-C0l+C0ing    	764 	692 
C0iou-C0n+C0ian   	491 	420 
C0l-C0ing+C0i     	490 	414 
sil-C0i+C0j       	482 	382 
C0i-C0n+C0ian     	540 	379 
C0l-C0ing+C0l     	456 	373 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	330 

step: 76
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	782 
C0er-C0l+C0ing    	764 	692 
C0iou-C0n+C0ian   	491 	420 
C0l-C0ing+C0i     	490 	414 
sil-C0i+C0j       	482 	382 
C0i-C0n+C0ian     	540 	379 
C0l-C0ing+C0l     	456 	373 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	330 

step: 77
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	782 
C0er-C0l+C0ing    	764 	692 
C0iou-C0n+C0ian   	491 	420 
C0l-C0ing+C0i     	490 	414 
sil-C0i+C0j       	482 	382 
C0i-C0n+C0ian     	540 	379 
C0l-C0ing+C0l     	456 	373 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	330 

step: 78
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	782 
C0er-C0l+C0ing    	764 	691 
C0iou-C0n+C0ian   	491 	420 
C0l-C0ing+C0i     	490 	414 
sil-C0i+C0j       	482 	382 
C0i-C0n+C0ian     	540 	379 
C0l-C0ing+C0l     	456 	372 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	329 

step: 79
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	782 
C0er-C0l+C0ing    	764 	691 
C0iou-C0n+C0ian   	491 	420 
C0l-C0ing+C0i     	490 	414 
sil-C0i+C0j       	482 	382 
C0i-C0n+C0ian     	540 	379 
C0l-C0ing+C0l     	456 	372 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	329 

step: 80
C0n-C0ian+sp      	1187	905 
C0i-C0j+C0iou     	1025	779 
C0er-C0l+C0ing    	764 	690 
C0iou-C0n+C0ian   	491 	420 
C0l-C0ing+C0i     	490 	414 
sil-C0i+C0j       	482 	382 
C0i-C0n+C0ian     	540 	378 
C0l-C0ing+C0l     	456 	371 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	328 

step: 81
C0n-C0ian+sp      	1187	905 
C0i-C0j+C0iou     	1025	779 
C0er-C0l+C0ing    	764 	689 
C0iou-C0n+C0ian   	491 	420 
C0l-C0ing+C0i     	490 	413 
sil-C0i+C0j       	482 	382 
C0i-C0n+C0ian     	540 	377 
C0l-C0ing+C0l     	456 	371 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	328 

step: 82
C0n-C0ian+sp      	1187	905 
C0i-C0j+C0iou     	1025	778 
C0er-C0l+C0ing    	764 	689 
C0iou-C0n+C0ian   	491 	419 
C0l-C0ing+C0i     	490 	413 
sil-C0i+C0j       	482 	381 
C0i-C0n+C0ian     	540 	377 
C0l-C0ing+C0l     	456 	371 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	328 

step: 83
C0n-C0ian+sp      	1187	905 
C0i-C0j+C0iou     	1025	777 
C0er-C0l+C0ing    	764 	689 
C0iou-C0n+C0ian   	491 	419 
C0l-C0ing+C0i     	490 	413 
sil-C0i+C0j       	482 	380 
C0i-C0n+C0ian     	540 	376 
C0l-C0ing+C0l     	456 	371 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	328 

step: 84
C0n-C0ian+sp      	1187	905 
C0i-C0j+C0iou     	1025	777 
C0er-C0l+C0ing    	764 	688 
C0iou-C0n+C0ian   	491 	418 
C0l-C0ing+C0i     	490 	413 
sil-C0i+C0j       	482 	380 
C0i-C0n+C0ian     	540 	376 
C0l-C0ing+C0l     	456 	370 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	327 

step: 85
C0n-C0ian+sp      	1187	905 
C0i-C0j+C0iou     	1025	774 
C0er-C0l+C0ing    	764 	688 
C0iou-C0n+C0ian   	491 	416 
C0l-C0ing+C0i     	490 	413 
sil-C0i+C0j       	482 	379 
C0i-C0n+C0ian     	540 	376 
C0l-C0ing+C0l     	456 	370 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	327 

step: 86
C0n-C0ian+sp      	1187	905 
C0i-C0j+C0iou     	1025	774 
C0er-C0l+C0ing    	764 	688 
C0iou-C0n+C0ian   	491 	416 
C0l-C0ing+C0i     	490 	413 
sil-C0i+C0j       	482 	379 
C0i-C0n+C0ian     	540 	376 
C0l-C0ing+C0l     	456 	370 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	327 

step: 87
C0n-C0ian+sp      	1187	905 
C0i-C0j+C0iou     	1025	771 
C0er-C0l+C0ing    	764 	688 
C0iou-C0n+C0ian   	491 	415 
C0l-C0ing+C0i     	490 	413 
sil-C0i+C0j       	482 	379 
C0i-C0n+C0ian     	540 	375 
C0l-C0ing+C0l     	456 	370 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	327 

step: 88
C0n-C0ian+sp      	1187	905 
C0i-C0j+C0iou     	1025	771 
C0er-C0l+C0ing    	764 	688 
C0iou-C0n+C0ian   	491 	415 
C0l-C0ing+C0i     	490 	413 
sil-C0i+C0j       	482 	379 
C0i-C0n+C0ian     	540 	375 
C0l-C0ing+C0l     	456 	370 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	327 

step: 89
C0n-C0ian+sp      	1187	903 
C0i-C0j+C0iou     	1025	771 
C0er-C0l+C0ing    	764 	686 
C0iou-C0n+C0ian   	491 	415 
C0l-C0ing+C0i     	490 	412 
sil-C0i+C0j       	482 	379 
C0i-C0n+C0ian     	540 	375 
C0l-C0ing+C0l     	456 	369 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	326 

step: 90
C0n-C0ian+sp      	1187	903 
C0i-C0j+C0iou     	1025	771 
C0er-C0l+C0ing    	764 	685 
C0iou-C0n+C0ian   	491 	414 
C0l-C0ing+C0i     	490 	412 
sil-C0i+C0j       	482 	379 
C0i-C0n+C0ian     	540 	375 
C0l-C0ing+C0l     	456 	368 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	325 

step: 91
C0n-C0ian+sp      	1187	903 
C0i-C0j+C0iou     	1025	771 
C0er-C0l+C0ing    	764 	684 
C0iou-C0n+C0ian   	491 	414 
C0l-C0ing+C0i     	490 	412 
sil-C0i+C0j       	482 	379 
C0i-C0n+C0ian     	540 	374 
C0l-C0ing+C0l     	456 	367 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	324 

step: 92
C0n-C0ian+sp      	1187	903 
C0i-C0j+C0iou     	1025	765 
C0er-C0l+C0ing    	764 	684 
C0iou-C0n+C0ian   	491 	414 
C0l-C0ing+C0i     	490 	412 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	373 
C0l-C0ing+C0l     	456 	367 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	324 

step: 93
C0n-C0ian+sp      	1187	903 
C0i-C0j+C0iou     	1025	764 
C0er-C0l+C0ing    	764 	684 
C0iou-C0n+C0ian   	491 	414 
C0l-C0ing+C0i     	490 	412 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	373 
C0l-C0ing+C0l     	456 	367 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	324 

step: 94
C0n-C0ian+sp      	1187	903 
C0i-C0j+C0iou     	1025	764 
C0er-C0l+C0ing    	764 	682 
C0iou-C0n+C0ian   	491 	414 
C0l-C0ing+C0i     	490 	410 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	371 
C0l-C0ing+C0l     	456 	367 
sil-C0er+C0l      	345 	334 
C0ing-C0l+C0ing   	411 	324 

step: 95
C0n-C0ian+sp      	1187	899 
C0i-C0j+C0iou     	1025	764 
C0er-C0l+C0ing    	764 	679 
C0iou-C0n+C0ian   	491 	414 
C0l-C0ing+C0i     	490 	409 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	370 
C0l-C0ing+C0l     	456 	365 
sil-C0er+C0l      	345 	334 
C0ing-C0l+C0ing   	411 	322 

step: 96
C0n-C0ian+sp      	1187	898 
C0i-C0j+C0iou     	1025	763 
C0er-C0l+C0ing    	764 	679 
C0iou-C0n+C0ian   	491 	414 
C0l-C0ing+C0i     	490 	409 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	369 
C0l-C0ing+C0l     	456 	365 
sil-C0er+C0l      	345 	334 
C0ing-C0l+C0ing   	411 	322 

step: 97
C0n-C0ian+sp      	1187	898 
C0i-C0j+C0iou     	1025	761 
C0er-C0l+C0ing    	764 	679 
C0iou-C0n+C0ian   	491 	414 
C0l-C0ing+C0i     	490 	409 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	369 
C0l-C0ing+C0l     	456 	365 
sil-C0er+C0l      	345 	334 
C0ing-C0l+C0ing   	411 	322 

step: 98
C0n-C0ian+sp      	1187	898 
C0i-C0j+C0iou     	1025	759 
C0er-C0l+C0ing    	764 	678 
C0iou-C0n+C0ian   	491 	414 
C0l-C0ing+C0i     	490 	409 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	369 
C0l-C0ing+C0l     	456 	363 
sil-C0er+C0l      	345 	334 
C0ing-C0l+C0ing   	411 	320 

step: 99
C0n-C0ian+sp      	1187	897 
C0i-C0j+C0iou     	1025	759 
C0er-C0l+C0ing    	764 	677 
C0iou-C0n+C0ian   	491 	410 
C0l-C0ing+C0i     	490 	408 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	368 
C0l-C0ing+C0l     	456 	359 
sil-C0er+C0l      	345 	333 
C0ing-C0l+C0ing   	411 	320 

step: 100
C0n-C0ian+sp      	1187	897 
C0i-C0j+C0iou     	1025	759 
C0er-C0l+C0ing    	764 	677 
C0iou-C0n+C0ian   	491 	410 
C0l-C0ing+C0i     	490 	408 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	368 
C0l-C0ing+C0l     	456 	359 
sil-C0er+C0l      	345 	333 
C0ing-C0l+C0ing   	411 	320 

step: 101
C0n-C0ian+sp      	1187	897 
C0i-C0j+C0iou     	1025	757 
C0er-C0l+C0ing    	764 	675 
C0iou-C0n+C0ian   	491 	409 
C0l-C0ing+C0i     	490 	408 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	368 
C0l-C0ing+C0l     	456 	356 
sil-C0er+C0l      	345 	333 
C0ing-C0l+C0ing   	411 	317 

step: 102
C0n-C0ian+sp      	1187	897 
C0i-C0j+C0iou     	1025	754 
C0er-C0l+C0ing    	764 	675 
C0iou-C0n+C0ian   	491 	409 
C0l-C0ing+C0i     	490 	408 
sil-C0i+C0j       	482 	378 
C0i-C0n+C0ian     	540 	367 
C0l-C0ing+C0l     	456 	356 
sil-C0er+C0l      	345 	333 
C0ing-C0l+C0ing   	411 	317 

step: 103
C0n-C0ian+sp      	1187	896 
C0i-C0j+C0iou     	1025	753 
C0er-C0l+C0ing    	764 	673 
C0iou-C0n+C0ian   	491 	409 
C0l-C0ing+C0i     	490 	407 
sil-C0i+C0j       	482 	377 
C0i-C0n+C0ian     	540 	366 
C0l-C0ing+C0l     	456 	353 
sil-C0er+C0l      	345 	333 
C0ing-C0l+C0ing   	411 	313 

step: 104
C0n-C0ian+sp      	1187	895 
C0i-C0j+C0iou     	1025	753 
C0er-C0l+C0ing    	764 	670 
C0iou-C0n+C0ian   	491 	408 
C0l-C0ing+C0i     	490 	405 
sil-C0i+C0j       	482 	377 
C0i-C0n+C0ian     	540 	366 
C0l-C0ing+C0l     	456 	352 
sil-C0er+C0l      	345 	333 
C0ing-C0l+C0ing   	411 	312 

step: 105
C0n-C0ian+sp      	1187	895 
C0i-C0j+C0iou     	1025	752 
C0er-C0l+C0ing    	764 	670 
C0iou-C0n+C0ian   	491 	408 
C0l-C0ing+C0i     	490 	405 
sil-C0i+C0j       	482 	377 
C0i-C0n+C0ian     	540 	366 
C0l-C0ing+C0l     	456 	352 
sil-C0er+C0l      	345 	333 
C0ing-C0l+C0ing   	411 	312 

step: 106
C0n-C0ian+sp      	1187	894 
C0i-C0j+C0iou     	1025	750 
C0er-C0l+C0ing    	764 	669 
C0iou-C0n+C0ian   	491 	408 
C0l-C0ing+C0i     	490 	404 
sil-C0i+C0j       	482 	377 
C0i-C0n+C0ian     	540 	364 
C0l-C0ing+C0l     	456 	351 
sil-C0er+C0l      	345 	333 
C0ing-C0l+C0ing   	411 	311 

step: 107
C0n-C0ian+sp      	1187	894 
C0i-C0j+C0iou     	1025	744 
C0er-C0l+C0ing    	764 	668 
C0iou-C0n+C0ian   	491 	406 
C0l-C0ing+C0i     	490 	404 
sil-C0i+C0j       	482 	376 
C0i-C0n+C0ian     	540 	362 
C0l-C0ing+C0l     	456 	350 
sil-C0er+C0l      	345 	333 
C0ing-C0l+C0ing   	411 	310 

step: 108
C0n-C0ian+sp      	1187	892 
C0i-C0j+C0iou     	1025	744 
C0er-C0l+C0ing    	764 	665 
C0iou-C0n+C0ian   	491 	406 
C0l-C0ing+C0i     	490 	401 
sil-C0i+C0j       	482 	376 
C0i-C0n+C0ian     	540 	362 
C0l-C0ing+C0l     	456 	350 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	310 

step: 109
C0n-C0ian+sp      	1187	891 
C0i-C0j+C0iou     	1025	742 
C0er-C0l+C0ing    	764 	665 
C0iou-C0n+C0ian   	491 	406 
C0l-C0ing+C0i     	490 	401 
sil-C0i+C0j       	482 	376 
C0i-C0n+C0ian     	540 	362 
C0l-C0ing+C0l     	456 	350 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	310 

step: 110
C0n-C0ian+sp      	1187	890 
C0i-C0j+C0iou     	1025	738 
C0er-C0l+C0ing    	764 	661 
C0iou-C0n+C0ian   	491 	405 
C0l-C0ing+C0i     	490 	398 
sil-C0i+C0j       	482 	375 
C0i-C0n+C0ian     	540 	358 
C0l-C0ing+C0l     	456 	346 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	306 

step: 111
C0n-C0ian+sp      	1187	890 
C0i-C0j+C0iou     	1025	738 
C0er-C0l+C0ing    	764 	660 
C0iou-C0n+C0ian   	491 	405 
C0l-C0ing+C0i     	490 	397 
sil-C0i+C0j       	482 	375 
C0i-C0n+C0ian     	540 	358 
C0l-C0ing+C0l     	456 	346 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	306 

step: 112
C0n-C0ian+sp      	1187	890 
C0i-C0j+C0iou     	1025	736 
C0er-C0l+C0ing    	764 	659 
C0iou-C0n+C0ian   	491 	405 
C0l-C0ing+C0i     	490 	396 
sil-C0i+C0j       	482 	375 
C0i-C0n+C0ian     	540 	358 
C0l-C0ing+C0l     	456 	346 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	306 

step: 113
C0n-C0ian+sp      	1187	890 
C0i-C0j+C0iou     	1025	736 
C0er-C0l+C0ing    	764 	659 
C0iou-C0n+C0ian   	491 	405 
C0l-C0ing+C0i     	490 	396 
sil-C0i+C0j       	482 	375 
C0i-C0n+C0ian     	540 	358 
C0l-C0ing+C0l     	456 	346 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	306 

step: 114
C0n-C0ian+sp      	1187	889 
C0i-C0j+C0iou     	1025	732 
C0er-C0l+C0ing    	764 	656 
C0iou-C0n+C0ian   	491 	404 
C0l-C0ing+C0i     	490 	394 
sil-C0i+C0j       	482 	374 
C0i-C0n+C0ian     	540 	356 
C0l-C0ing+C0l     	456 	343 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	303 

step: 115
C0n-C0ian+sp      	1187	889 
C0i-C0j+C0iou     	1025	732 
C0er-C0l+C0ing    	764 	654 
C0iou-C0n+C0ian   	491 	404 
C0l-C0ing+C0i     	490 	392 
sil-C0i+C0j       	482 	374 
C0i-C0n+C0ian     	540 	354 
C0l-C0ing+C0l     	456 	341 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	301 

step: 116
C0n-C0ian+sp      	1187	889 
C0i-C0j+C0iou     	1025	730 
C0er-C0l+C0ing    	764 	654 
C0iou-C0n+C0ian   	491 	404 
C0l-C0ing+C0i     	490 	392 
sil-C0i+C0j       	482 	373 
C0i-C0n+C0ian     	540 	354 
C0l-C0ing+C0l     	456 	341 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	301 

step: 117
C0n-C0ian+sp      	1187	886 
C0i-C0j+C0iou     	1025	723 
C0er-C0l+C0ing    	764 	654 
C0iou-C0n+C0ian   	491 	404 
C0l-C0ing+C0i     	490 	392 
sil-C0i+C0j       	482 	372 
C0i-C0n+C0ian     	540 	352 
C0l-C0ing+C0l     	456 	341 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	301 

step: 118
C0n-C0ian+sp      	1187	886 
C0i-C0j+C0iou     	1025	721 
C0er-C0l+C0ing    	764 	654 
C0iou-C0n+C0ian   	491 	404 
C0l-C0ing+C0i     	490 	392 
sil-C0i+C0j       	482 	372 
C0i-C0n+C0ian     	540 	352 
C0l-C0ing+C0l     	456 	341 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	301 

step: 119
C0n-C0ian+sp      	1187	885 
C0i-C0j+C0iou     	1025	721 
C0er-C0l+C0ing    	764 	651 
C0iou-C0n+C0ian   	491 	403 
C0l-C0ing+C0i     	490 	390 
sil-C0i+C0j       	482 	372 
C0i-C0n+C0ian     	540 	352 
C0l-C0ing+C0l     	456 	340 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	300 

step: 120
C0n-C0ian+sp      	1187	885 
C0i-C0j+C0iou     	1025	721 
C0er-C0l+C0ing    	764 	650 
C0iou-C0n+C0ian   	491 	402 
C0l-C0ing+C0i     	490 	390 
sil-C0i+C0j       	482 	372 
C0i-C0n+C0ian     	540 	352 
C0l-C0ing+C0l     	456 	338 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	299 

step: 121
C0n-C0ian+sp      	1187	884 
C0i-C0j+C0iou     	1025	721 
C0er-C0l+C0ing    	764 	647 
C0iou-C0n+C0ian   	491 	402 
C0l-C0ing+C0i     	490 	387 
sil-C0i+C0j       	482 	372 
C0i-C0n+C0ian     	540 	351 
C0l-C0ing+C0l     	456 	338 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	299 

step: 122
C0n-C0ian+sp      	1187	884 
C0i-C0j+C0iou     	1025	721 
C0er-C0l+C0ing    	764 	644 
C0iou-C0n+C0ian   	491 	400 
C0l-C0ing+C0i     	490 	384 
sil-C0i+C0j       	482 	372 
C0i-C0n+C0ian     	540 	351 
C0l-C0ing+C0l     	456 	338 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	299 

step: 123
C0n-C0ian+sp      	1187	882 
C0i-C0j+C0iou     	1025	721 
C0er-C0l+C0ing    	764 	644 
C0iou-C0n+C0ian   	491 	400 
C0l-C0ing+C0i     	490 	384 
sil-C0i+C0j       	482 	372 
C0i-C0n+C0ian     	540 	351 
C0l-C0ing+C0l     	456 	337 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	298 

step: 124
C0n-C0ian+sp      	1187	882 
C0i-C0j+C0iou     	1025	721 
C0er-C0l+C0ing    	764 	643 
C0iou-C0n+C0ian   	491 	400 
C0l-C0ing+C0i     	490 	384 
sil-C0i+C0j       	482 	372 
C0i-C0n+C0ian     	540 	351 
C0l-C0ing+C0l     	456 	336 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	297 

step: 125
C0n-C0ian+sp      	1187	882 
C0i-C0j+C0iou     	1025	719 
C0er-C0l+C0ing    	764 	643 
C0iou-C0n+C0ian   	491 	399 
C0l-C0ing+C0i     	490 	384 
sil-C0i+C0j       	482 	372 
C0i-C0n+C0ian     	540 	350 
C0l-C0ing+C0l     	456 	336 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	297 

step: 126
C0n-C0ian+sp      	1187	881 
C0i-C0j+C0iou     	1025	719 
C0er-C0l+C0ing    	764 	643 
C0iou-C0n+C0ian   	491 	399 
C0l-C0ing+C0i     	490 	384 
sil-C0i+C0j       	482 	372 
C0i-C0n+C0ian     	540 	350 
C0l-C0ing+C0l     	456 	336 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	297 

step: 127
C0n-C0ian+sp      	1187	880 
C0i-C0j+C0iou     	1025	717 
C0er-C0l+C0ing    	764 	643 
C0iou-C0n+C0ian   	491 	399 
C0l-C0ing+C0i     	490 	384 
sil-C0i+C0j       	482 	371 
C0i-C0n+C0ian     	540 	350 
C0l-C0ing+C0l     	456 	336 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	297 

step: 128
C0n-C0ian+sp      	1187	879 
C0i-C0j+C0iou     	1025	717 
C0er-C0l+C0ing    	764 	641 
C0iou-C0n+C0ian   	491 	399 
C0l-C0ing+C0i     	490 	382 
sil-C0i+C0j       	482 	371 
C0i-C0n+C0ian     	540 	349 
C0l-C0ing+C0l     	456 	336 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	297 

step: 129
C0n-C0ian+sp      	1187	877 
C0i-C0j+C0iou     	1025	712 
C0er-C0l+C0ing    	764 	641 
C0iou-C0n+C0ian   	491 	399 
C0l-C0ing+C0i     	490 	382 
sil-C0i+C0j       	482 	371 
C0i-C0n+C0ian     	540 	347 
C0l-C0ing+C0l     	456 	336 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	297 

step: 130
C0n-C0ian+sp      	1187	877 
C0i-C0j+C0iou     	1025	712 
C0er-C0l+C0ing    	764 	641 
C0iou-C0n+C0ian   	491 	399 
C0l-C0ing+C0i     	490 	382 
sil-C0i+C0j       	482 	371 
C0i-C0n+C0ian     	540 	347 
C0l-C0ing+C0l     	456 	336 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	297 

step: 131
C0n-C0ian+sp      	1187	874 
C0i-C0j+C0iou     	1025	711 
C0er-C0l+C0ing    	764 	641 
C0iou-C0n+C0ian   	491 	399 
C0l-C0ing+C0i     	490 	382 
sil-C0i+C0j       	482 	371 
C0i-C0n+C0ian     	540 	347 
C0l-C0ing+C0l     	456 	336 
sil-C0er+C0l      	345 	332 
C0ing-C0l+C0ing   	411 	297 

step: 132
C0n-C0ian+sp      	1187	871 
C0i-C0j+C0iou     	1025	711 
C0er-C0l+C0ing    	764 	637 
C0iou-C0n+C0ian   	491 	397 
C0l-C0ing+C0i     	490 	380 
sil-C0i+C0j       	482 	371 
C0i-C0n+C0ian     	540 	347 
C0l-C0ing+C0l     	456 	332 
sil-C0er+C0l      	345 	331 
C0ing-C0l+C0ing   	411 	295 

step: 133
C0n-C0ian+sp      	1187	871 
C0i-C0j+C0iou     	1025	708 
C0er-C0l+C0ing    	764 	635 
C0iou-C0n+C0ian   	491 	396 
C0l-C0ing+C0i     	490 	379 
sil-C0i+C0j       	482 	370 
C0i-C0n+C0ian     	540 	345 
sil-C0er+C0l      	345 	331 
C0l-C0ing+C0l     	456 	330 
C0ing-C0l+C0ing   	411 	293 

step: 134
C0n-C0ian+sp      	1187	870 
C0i-C0j+C0iou     	1025	707 
C0er-C0l+C0ing    	764 	635 
C0iou-C0n+C0ian   	491 	396 
C0l-C0ing+C0i     	490 	379 
sil-C0i+C0j       	482 	370 
C0i-C0n+C0ian     	540 	345 
sil-C0er+C0l      	345 	331 
C0l-C0ing+C0l     	456 	330 
C0ing-C0l+C0ing   	411 	293 

step: 135
C0n-C0ian+sp      	1187	870 
C0i-C0j+C0iou     	1025	707 
C0er-C0l+C0ing    	764 	635 
C0iou-C0n+C0ian   	491 	396 
C0l-C0ing+C0i     	490 	379 
sil-C0i+C0j       	482 	370 
C0i-C0n+C0ian     	540 	345 
sil-C0er+C0l      	345 	331 
C0l-C0ing+C0l     	456 	330 
C0ing-C0l+C0ing   	411 	293 

step: 136
C0n-C0ian+sp      	1187	870 
C0i-C0j+C0iou     	1025	705 
C0er-C0l+C0ing    	764 	635 
C0iou-C0n+C0ian   	491 	395 
C0l-C0ing+C0i     	490 	379 
sil-C0i+C0j       	482 	370 
C0i-C0n+C0ian     	540 	345 
sil-C0er+C0l      	345 	331 
C0l-C0ing+C0l     	456 	330 
C0ing-C0l+C0ing   	411 	293 

step: 137
C0n-C0ian+sp      	1187	862 
C0i-C0j+C0iou     	1025	705 
C0er-C0l+C0ing    	764 	635 
C0iou-C0n+C0ian   	491 	394 
C0l-C0ing+C0i     	490 	379 
sil-C0i+C0j       	482 	370 
C0i-C0n+C0ian     	540 	345 
sil-C0er+C0l      	345 	331 
